"","...1","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year","bill_surface_area_mm2","body_mass_kg","flipper_length_Z","flipper_length_group"
"1",1,"Adelie","Torgersen",39.1,18.7,181,3750,"male","2007",731.17,3.75,-1.41627152511282,"Small Penguinz"
"2",2,"Adelie","Torgersen",39.5,17.4,186,3800,"female","2007",687.3,3.8,-1.06069608715321,"Small Penguinz"
"3",3,"Adelie","Torgersen",40.3,18,195,3250,"female","2007",725.4,3.25,-0.420660298825905,"Small Penguinz"
"4",5,"Adelie","Torgersen",36.7,19.3,193,3450,"female","2007",708.31,3.45,-0.56289047400975,"Small Penguinz"
"5",6,"Adelie","Torgersen",39.3,20.6,190,3650,"male","2007",809.58,3.65,-0.776235736785517,"Small Penguinz"
"6",7,"Adelie","Torgersen",38.9,17.8,181,3625,"female","2007",692.42,3.625,-1.41627152511282,"Small Penguinz"
"7",8,"Adelie","Torgersen",39.2,19.6,195,4675,"male","2007",768.32,4.675,-0.420660298825905,"Small Penguinz"
"8",13,"Adelie","Torgersen",41.1,17.6,182,3200,"female","2007",723.36,3.2,-1.3451564375209,"Small Penguinz"
"9",14,"Adelie","Torgersen",38.6,21.2,191,3800,"male","2007",818.32,3.8,-0.705120649193595,"Small Penguinz"
"10",15,"Adelie","Torgersen",34.6,21.1,198,4400,"male","2007",730.06,4.4,-0.207315036050138,"Small Penguinz"
"11",16,"Adelie","Torgersen",36.6,17.8,185,3700,"female","2007",651.48,3.7,-1.13181117474513,"Small Penguinz"
"12",17,"Adelie","Torgersen",38.7,19,195,3450,"female","2007",735.3,3.45,-0.420660298825905,"Small Penguinz"
"13",18,"Adelie","Torgersen",42.5,20.7,197,4500,"male","2007",879.75,4.5,-0.27843012364206,"Small Penguinz"
"14",19,"Adelie","Torgersen",34.4,18.4,184,3325,"female","2007",632.96,3.325,-1.20292626233705,"Small Penguinz"
"15",20,"Adelie","Torgersen",46,21.5,194,4200,"male","2007",989,4.2,-0.491775386417828,"Small Penguinz"
"16",21,"Adelie","Biscoe",37.8,18.3,174,3400,"female","2007",691.74,3.4,-1.91407713825628,"Small Penguinz"
