Constituency,Region,SNP,CON,LAB,LD,GRN,OTH,Votes Cast,Electorate,Majority
ABERDEEN CENTRAL,North East Scotland,14217,7623,6294,1417,2087,0,31638,56817,6594
ABERDEEN DONSIDE,North East Scotland,18514,9488,5505,2162,0,240,35909,62088,9026
ABERDEEN SOUTH AND NORTH KINCARDINE,North East Scotland,16500,14829,4505,2889,0,286,39009,60799,1671
ABERDEENSHIRE EAST,North East Scotland,18307,16418,2900,3396,0,0,41021,64059,1889
ABERDEENSHIRE WEST,North East Scotland,16319,19709,2382,3363,0,0,41773,60081,3390
AIRDRIE AND SHOTTS,Central Scotland,16139,4422,10671,562,0,132,31926,54153,5468
ALMOND VALLEY,Lothian,22675,6952,10545,1601,0,0,41773,68634,12130
ANGUS NORTH AND MEARNS,North East Scotland,17144,13635,2686,1804,0,0,35269,54149,3509
ANGUS SOUTH,North East Scotland,19568,13451,3625,1964,0,0,38608,59472,6117
ARGYLL AND BUTE,Highlands and Islands,16608,7645,2436,6874,0,0,33563,49726,8963
AYR,South Scotland,18881,18711,4766,808,0,267,43433,63711,170
BANFFSHIRE AND BUCHAN COAST,North East Scotland,14920,14148,2169,1071,0,678,32986,58816,772
"CAITHNESS, SUTHERLAND AND ROSS",Highlands and Islands,15889,5170,2016,13298,0,511,36884,57045,2591
"CARRICK, CUMNOCK AND DOON VALLEY",South Scotland,15240,10903,8604,875,0,0,35622,59924,4337
CLACKMANNANSHIRE AND DUNBLANE,Mid Scotland and Fife,16504,8953,8292,1194,0,0,34943,52847,7551
CLYDEBANK AND MILNGAVIE,West Scotland,17787,4153,12513,2987,0,220,37660,53368,5274
CLYDESDALE,South Scotland,17596,13018,8960,1144,0,0,40718,61155,4578
COATBRIDGE AND CHRYSTON,Central Scotland,20577,3028,11140,622,0,411,35778,56827,9437
COWDENBEATH,Mid Scotland and Fife,16499,4758,10486,1088,1344,0,34175,56434,6013
CUMBERNAULD AND KILSYTH,Central Scotland,19633,3375,9792,678,0,0,33478,51457,9841
CUNNINGHAME NORTH,West Scotland,18227,10451,7536,967,0,0,37181,57714,7776
CUNNINGHAME SOUTH,West Scotland,15208,6621,7256,715,0,318,30118,52057,7952
DUMBARTON,West Scotland,16342,3205,17825,676,0,411,38459,56296,1483
DUMFRIESSHIRE,South Scotland,15421,19487,4671,1314,0,0,40893,62116,4066
DUNDEE CITY EAST,North East Scotland,19230,5630,5893,1431,0,287,32471,55691,13337
DUNDEE CITY WEST,North East Scotland,19818,3327,6899,1269,0,842,32155,56733,12919
DUNFERMLINE,Mid Scotland and Fife,20048,6314,11384,3196,0,0,40942,62330,8664
EAST KILBRIDE,Central Scotland,21149,5923,12477,1217,0,0,40766,61479,8672
EAST LOTHIAN,South Scotland,17968,9470,16789,1556,0,0,45783,66473,1179
EASTWOOD,West Scotland,15695,17911,6759,911,0,1427,42703,56074,2216
EDINBURGH CENTRAL,Lothian,16276,11544,6839,2555,3921,578,41713,66734,4732
EDINBURGH EASTERN,Lothian,22658,5970,12541,2035,0,0,43204,71285,10117
EDINBURGH NORTHERN AND LEITH,Lothian,22443,5052,10874,2035,6116,314,46834,74636,11569
